"symbol","gene_id","log2FoldChange","padj","baseMean","regulacion"
"GTF2IP5","ENSG00000224316.1",3.284,"1.42e-03",1.71,"Up"
"LINC01213","ENSG00000244541.7",3.284,"5.89e-03",1.72,"Up"
NA,"ENSG00000254739.1",3.283,"1.83e-03",1.7,"Up"
"ARL9","ENSG00000196503.5",3.282,"2.90e-05",6.78,"Up"
"LINC01484","ENSG00000253686.3",3.281,"2.11e-11",15.41,"Up"
"KRTAP5-1","ENSG00000205869.2",3.281,"2.78e-03",1.35,"Up"
NA,"ENSG00000249746.4",3.281,"4.75e-03",4.64,"Up"
"LINC01711","ENSG00000268941.2",3.276,"8.33e-04",1.36,"Up"
NA,"ENSG00000228142.4",3.276,"5.67e-03",0.85,"Up"
"LINC00880","ENSG00000243629.3",3.274,"2.92e-03",2.11,"Up"
"IGKV2D-40","ENSG00000251039.4",3.273,"4.68e-10",154.49,"Up"
"LINC01060","ENSG00000249378.9",3.273,"1.61e-02",0.85,"Up"
"EGOT","ENSG00000235947.1",3.266,"3.82e-05",7.69,"Up"
NA,"ENSG00000302719.1",3.264,"4.03e-03",1.38,"Up"
"SLC1A7","ENSG00000162383.13",3.263,"2.36e-05",84.71,"Up"
NA,"ENSG00000300698.1",3.263,"4.87e-02",0.85,"Up"
NA,"ENSG00000285570.2",3.261,"8.55e-03",1.37,"Up"
"LINC02989","ENSG00000255400.2",3.26,"1.51e-02",1.39,"Up"
"IGHA2","ENSG00000211890.4",3.259,"7.05e-10",1581.48,"Up"
"TMEM88B","ENSG00000205116.4",3.259,"1.10e-05",16.63,"Up"
"SNORC","ENSG00000182600.10",3.256,"2.38e-10",8.92,"Up"
"CT75","ENSG00000291155.2",3.256,"9.74e-05",3.62,"Up"
NA,"ENSG00000307857.1",3.256,"3.31e-03",1.09,"Up"
"IGHV3-36","ENSG00000253240.1",3.248,"2.69e-02",1.67,"Up"
NA,"ENSG00000305970.1",3.247,"2.45e-03",1.65,"Up"
"MYT1","ENSG00000196132.14",3.243,"3.40e-03",8.12,"Up"
NA,"ENSG00000296696.1",3.242,"2.45e-02",1.36,"Up"
"B3GAT1-DT","ENSG00000255545.9",3.24,"1.23e-03",28.04,"Up"
NA,"ENSG00000232725.2",3.239,"2.55e-06",6.93,"Up"
"BMAL2-AS1","ENSG00000245311.3",3.237,"1.66e-02",1.68,"Up"
NA,"ENSG00000295782.1",3.234,"1.27e-03",3.52,"Up"
"CPXM1","ENSG00000088882.8",3.233,"2.99e-12",71.86,"Up"
NA,"ENSG00000249047.2",3.229,"6.40e-03",1.07,"Up"
"SLC15A1","ENSG00000088386.17",3.229,"9.03e-03",10.3,"Up"
"IGHV1-14","ENSG00000253709.1",3.228,"9.92e-05",4.77,"Up"
"KPNA7","ENSG00000185467.8",3.227,"2.39e-06",23.03,"Up"
"IGHV3-63","ENSG00000253936.1",3.227,"4.76e-04",6.89,"Up"
"IGHV3-13","ENSG00000211942.3",3.226,"1.13e-07",174.81,"Up"
"LOC124900656","ENSG00000287164.2",3.226,"1.77e-02",1.05,"Up"
NA,"ENSG00000309514.1",3.226,"2.78e-02",0.83,"Up"
"IGHV3-52","ENSG00000253545.1",3.225,"6.64e-07",10.88,"Up"
NA,"ENSG00000276691.1",3.225,"1.18e-03",3.02,"Up"
"GCKR","ENSG00000084734.9",3.224,"8.54e-05",6.17,"Up"
"ADAMTS16-DT","ENSG00000250579.4",3.222,"9.41e-03",1.62,"Up"
NA,"ENSG00000302971.1",3.221,"9.67e-03",2.96,"Up"
"SLC4A3","ENSG00000114923.17",3.219,"4.27e-16",43.67,"Up"
"CREG2","ENSG00000175874.10",3.219,"3.98e-04",15.99,"Up"
"GOLGA7B-DT","ENSG00000227356.3",3.218,"1.67e-03",2.92,"Up"
"RECQL4","ENSG00000160957.15",3.216,"1.42e-08",45.22,"Up"
"TBX18","ENSG00000112837.17",3.215,"9.88e-05",19.81,"Up"
NA,"ENSG00000255983.1",3.213,"2.37e-02",1.34,"Up"
"TERT","ENSG00000164362.21",3.212,"3.93e-03",1.31,"Up"
NA,"ENSG00000307957.1",3.212,"2.93e-02",1.04,"Up"
"BNIP3P10","ENSG00000270270.1",3.211,"4.83e-03",0.82,"Up"
NA,"ENSG00000310120.1",3.211,"1.28e-02",1.33,"Up"
"IGKV2-40","ENSG00000273962.2",3.21,"2.27e-10",53.11,"Up"
"HEPHL1","ENSG00000181333.12",3.209,"1.61e-03",7.39,"Up"
NA,"ENSG00000254973.2",3.204,"7.43e-06",4.83,"Up"
"ATP6V1C2","ENSG00000143882.12",3.201,"1.35e-07",82.55,"Up"
NA,"ENSG00000308326.1",3.201,"2.12e-02",0.81,"Up"
NA,"ENSG00000211678.2",3.2,"6.16e-12",19.44,"Up"
"IGHV4-30-2","ENSG00000231475.3",3.197,"5.80e-05",485.03,"Up"
NA,"ENSG00000236536.3",3.197,"4.01e-02",1.05,"Up"
NA,"ENSG00000271555.1",3.196,"1.36e-03",1.31,"Up"
"NLRP11","ENSG00000179873.14",3.195,"4.44e-03",3.89,"Up"
"KLK4","ENSG00000167749.12",3.193,"1.69e-02",1.29,"Up"
"FERMT1","ENSG00000101311.17",3.192,"3.22e-13",267.41,"Up"
"AQP6","ENSG00000086159.14",3.192,"5.02e-03",2.43,"Up"
NA,"ENSG00000278263.2",3.191,"8.44e-11",127.12,"Up"
"STMN2","ENSG00000104435.14",3.191,"1.87e-03",5.73,"Up"
"LEMD1","ENSG00000186007.10",3.19,"3.87e-09",28.14,"Up"
"IL31RA","ENSG00000164509.17",3.188,"9.63e-06",57.4,"Up"
NA,"ENSG00000310323.1",3.187,"4.48e-03",1.62,"Up"
NA,"ENSG00000288031.1",3.187,"3.26e-02",1.03,"Up"
"DIO2","ENSG00000211448.14",3.185,"1.44e-14",114.68,"Up"
"MIR4292","ENSG00000265806.1",3.184,"7.02e-04",1.6,"Up"
"NAT16","ENSG00000167011.9",3.183,"1.28e-02",0.8,"Up"
NA,"ENSG00000287457.1",3.181,"9.18e-03",1.29,"Up"
NA,"ENSG00000244676.6",3.18,"1.98e-03",4.99,"Up"
NA,"ENSG00000253361.4",3.178,"4.80e-02",1.95,"Up"
"ALPK2","ENSG00000198796.7",3.175,"1.48e-10",15.44,"Up"
NA,"ENSG00000270933.3",3.175,"2.80e-09",18.97,"Up"
"SIRPG-AS1","ENSG00000237914.5",3.174,"4.17e-04",2.79,"Up"
"IGHV1OR15-9","ENSG00000188403.7",3.168,"1.26e-06",8.34,"Up"
"PLAT","ENSG00000104368.19",3.168,"3.19e-06",1612.17,"Up"
"RHBDL2","ENSG00000158315.11",3.16,"4.53e-23",66.4,"Up"
NA,"ENSG00000256663.1",3.16,"4.09e-06",33.09,"Up"
NA,"ENSG00000293560.2",3.156,"2.88e-02",1.02,"Up"
"SRMS","ENSG00000125508.4",3.152,"3.24e-05",9.31,"Up"
NA,"ENSG00000295497.1",3.151,"2.09e-02",1.56,"Up"
NA,"ENSG00000294207.1",3.151,"3.48e-02",1.27,"Up"
NA,"ENSG00000306052.1",3.15,"1.45e-02",1.26,"Up"
NA,"ENSG00000275888.1",3.148,"1.76e-03",1.93,"Up"
NA,"ENSG00000306285.1",3.148,"5.35e-03",1.93,"Up"
NA,"ENSG00000305067.1",3.148,"3.72e-02",1,"Up"
"IL1RAPL2","ENSG00000189108.14",3.148,"4.35e-02",1.95,"Up"
"MIR9-2HG","ENSG00000245526.14",3.145,"3.83e-02",1,"Up"
"GRIN1","ENSG00000176884.17",3.144,"2.15e-04",5.58,"Up"
NA,"ENSG00000300209.1",3.142,"1.47e-02",1,"Up"
NA,"ENSG00000305191.1",3.142,"4.03e-02",0.79,"Up"
NA,"ENSG00000258077.3",3.141,"7.91e-05",10.17,"Up"
"DLL3","ENSG00000090932.11",3.132,"1.01e-02",1.24,"Up"
"SAMMSON","ENSG00000240405.8",3.132,"1.53e-02",1.27,"Up"
NA,"ENSG00000305908.1",3.131,"1.48e-02",0.78,"Up"
"RPRM","ENSG00000177519.4",3.126,"1.68e-02",1.57,"Up"
"YBX2","ENSG00000006047.13",3.123,"2.92e-04",9.94,"Up"
NA,"ENSG00000300973.1",3.123,"5.26e-03",3.13,"Up"
NA,"ENSG00000258346.2",3.121,"2.47e-02",2.26,"Up"
NA,"ENSG00000293541.2",3.12,"1.27e-03",4.8,"Up"
"LOC728485","ENSG00000267260.4",3.119,"2.19e-02",0.77,"Up"
NA,"ENSG00000296622.1",3.115,"3.59e-06",8.63,"Up"
"APCDD1L-DT","ENSG00000231290.8",3.115,"1.19e-03",4.28,"Up"
NA,"ENSG00000296620.1",3.115,"7.23e-03",1.52,"Up"
NA,"ENSG00000293318.1",3.115,"9.60e-03",1.23,"Up"
NA,"ENSG00000307198.1",3.115,"1.87e-02",2.27,"Up"
NA,"ENSG00000256268.4",3.114,"4.11e-03",3.18,"Up"
NA,"ENSG00000304057.1",3.114,"2.13e-02",0.97,"Up"
NA,"ENSG00000222000.8",3.112,"6.75e-03",3,"Up"
"NMNAT2","ENSG00000157064.11",3.111,"1.19e-04",160.02,"Up"
"BLACAT1","ENSG00000281406.2",3.109,"2.80e-15",92.7,"Up"
NA,"ENSG00000301639.1",3.107,"5.30e-06",5.05,"Up"
"IGHV1-69","ENSG00000211973.2",3.105,"6.10e-16",1006.18,"Up"
"NKAIN4","ENSG00000101198.15",3.105,"6.89e-05",3.57,"Up"
"CDCA7","ENSG00000144354.15",3.104,"2.49e-13",229.21,"Up"
"CSMD2","ENSG00000121904.19",3.104,"7.83e-12",30.07,"Up"
"EPHA6","ENSG00000080224.18",3.101,"4.95e-03",13.54,"Up"
"GABRD","ENSG00000187730.9",3.099,"2.97e-06",4.56,"Up"
"COL5A1","ENSG00000130635.17",3.098,"3.08e-18",1673.09,"Up"
NA,"ENSG00000307458.1",3.094,"1.43e-02",3.38,"Up"
NA,"ENSG00000303501.1",3.094,"3.10e-02",1.51,"Up"
"TNFSF11","ENSG00000120659.16",3.092,"2.30e-05",13.73,"Up"
NA,"ENSG00000288947.3",3.087,"1.09e-02",1.49,"Up"
"ALDH1L1","ENSG00000144908.14",3.086,"1.69e-04",22.45,"Up"
NA,"ENSG00000296251.1",3.077,"4.61e-03",3.61,"Up"
NA,"ENSG00000259990.2",3.076,"3.39e-05",10.06,"Up"
NA,"ENSG00000300630.1",3.076,"2.09e-02",1.53,"Up"
"AKR7A3","ENSG00000162482.5",3.075,"9.48e-05",7.08,"Up"
"DGKI","ENSG00000157680.17",3.073,"2.04e-09",16.25,"Up"
NA,"ENSG00000258661.2",3.073,"1.49e-04",4.41,"Up"
"MMP10","ENSG00000166670.10",3.072,"1.22e-04",18.29,"Up"
NA,"ENSG00000288762.2",3.072,"1.87e-02",0.95,"Up"
NA,"ENSG00000288730.2",3.071,"5.26e-03",2.98,"Up"
NA,"ENSG00000279114.1",3.071,"8.74e-03",1.2,"Up"
"CXCL13","ENSG00000156234.8",3.07,"4.22e-08",163.48,"Up"
NA,"ENSG00000287226.2",3.068,"1.43e-04",8.09,"Up"
"GAP43","ENSG00000172020.13",3.066,"1.07e-03",6.21,"Up"
NA,"ENSG00000297102.1",3.062,"6.98e-06",4.39,"Up"
"MIR9-1HG","ENSG00000125462.21",3.062,"4.16e-04",9.14,"Up"
NA,"ENSG00000225380.4",3.062,"1.48e-03",4.76,"Up"
NA,"ENSG00000200344.1",3.062,"1.47e-02",0.95,"Up"
NA,"ENSG00000257906.4",3.062,"3.34e-02",0.73,"Up"
"IGHV3-7","ENSG00000211938.2",3.061,"1.61e-13",918.09,"Up"
"IGHG4","ENSG00000211892.4",3.06,"9.53e-06",2347.72,"Up"
"ARTN","ENSG00000117407.17",3.06,"1.34e-04",14.86,"Up"
"TUBB4A","ENSG00000104833.12",3.06,"4.41e-03",7.19,"Up"
NA,"ENSG00000304602.1",3.06,"7.11e-03",0.93,"Up"
"SPDEF","ENSG00000124664.11",3.059,"6.27e-05",38.83,"Up"
"ELAVL2","ENSG00000107105.15",3.059,"8.45e-04",7.72,"Up"
"UGT3A2","ENSG00000168671.10",3.058,"1.52e-02",1.21,"Up"
"MYOSLID","ENSG00000229647.4",3.057,"3.54e-06",29.65,"Up"
"MTNR1A","ENSG00000168412.7",3.053,"2.40e-04",5.42,"Up"
NA,"ENSG00000304396.1",3.052,"1.87e-02",1.48,"Up"
"PKMYT1","ENSG00000127564.17",3.051,"4.85e-08",15.54,"Up"
NA,"ENSG00000289288.3",3.051,"1.18e-03",1.82,"Up"
"HHLA2","ENSG00000114455.15",3.051,"5.10e-03",146.06,"Up"
"PVT1","ENSG00000249859.15",3.05,"1.35e-12",215.95,"Up"
"IGLV3-9","ENSG00000211670.2",3.048,"1.62e-05",253.27,"Up"
NA,"ENSG00000262837.2",3.046,"1.83e-03",1.5,"Up"
NA,"ENSG00000277128.2",3.046,"6.55e-03",1.21,"Up"
"KCNQ5","ENSG00000185760.18",3.045,"3.92e-08",84.12,"Up"
NA,"ENSG00000260710.5",3.044,"3.19e-02",1.18,"Up"
"C6orf141","ENSG00000197261.12",3.043,"9.13e-08",51.47,"Up"
"LINC02576","ENSG00000232613.8",3.041,"2.76e-07",9.84,"Up"
"GLRA3","ENSG00000145451.13",3.04,"2.37e-03",8.23,"Up"
NA,"ENSG00000262920.6",3.039,"4.16e-04",3.13,"Up"
"MSI1","ENSG00000135097.7",3.038,"2.65e-03",9.5,"Up"
"MUC3A","ENSG00000169894.18",3.037,"1.19e-04",104.75,"Up"
NA,"ENSG00000287678.2",3.036,"2.25e-03",1.44,"Up"
NA,"ENSG00000294818.1",3.036,"1.15e-02",1.45,"Up"
"NECTIN1","ENSG00000110400.11",3.031,"4.90e-10",659.42,"Up"
NA,"ENSG00000300672.1",3.031,"2.61e-03",1.8,"Up"
NA,"ENSG00000286403.1",3.028,"5.81e-04",9.13,"Up"
"ST8SIA2","ENSG00000140557.12",3.028,"6.97e-03",2.62,"Up"
"IGLV3-25","ENSG00000211659.2",3.027,"2.42e-14",803.01,"Up"
NA,"ENSG00000233682.4",3.027,"5.00e-03",1.8,"Up"
NA,"ENSG00000300617.1",3.027,"2.77e-02",1.45,"Up"
"GGNBP1","ENSG00000293518.2",3.023,"6.86e-03",1.8,"Up"
"BHMT","ENSG00000145692.15",3.023,"1.00e-02",2.15,"Up"
"IGLV3-19","ENSG00000211663.2",3.022,"3.52e-10",1230.21,"Up"
NA,"ENSG00000266995.1",3.022,"7.94e-04",2.22,"Up"
"FAP","ENSG00000078098.15",3.021,"6.70e-14",385.4,"Up"
"RN7SL192P","ENSG00000276757.1",3.021,"6.02e-03",1.45,"Up"
NA,"ENSG00000251361.2",3.02,"3.73e-03",2.16,"Up"
"LINC00160","ENSG00000230978.3",3.019,"3.93e-02",1.17,"Up"
NA,"ENSG00000303104.1",3.018,"4.16e-03",1.44,"Up"
"HMGB3","ENSG00000029993.15",3.015,"2.86e-14",1318.42,"Up"
NA,"ENSG00000278876.1",3.009,"3.16e-03",1.76,"Up"
NA,"ENSG00000207751.5",3.006,"1.94e-07",10.84,"Up"
"LRRC15","ENSG00000172061.9",3.006,"4.43e-07",252.95,"Up"
NA,"ENSG00000300688.1",3.005,"9.31e-03",0.92,"Up"
"LINC02535","ENSG00000234155.2",3.003,"1.43e-03",3.22,"Up"
"TEX11","ENSG00000120498.14",3.003,"6.34e-03",1.44,"Up"
"CDC6","ENSG00000094804.12",3.001,"3.98e-16",176.06,"Up"
"ANGPTL4","ENSG00000167772.12",3.001,"9.42e-07",94.75,"Up"
"PCAT6","ENSG00000228288.10",2.995,"9.26e-03",1.45,"Up"
NA,"ENSG00000300291.1",2.994,"8.29e-03",1.74,"Up"
"H2BC6","ENSG00000274290.3",2.991,"5.93e-05",4.98,"Up"
"LARGE2","ENSG00000165905.18",2.99,"1.58e-13",121.08,"Up"
NA,"ENSG00000263535.2",2.989,"8.98e-19",44.65,"Up"
"PRR36","ENSG00000183248.12",2.988,"4.17e-08",24.88,"Up"
"SLC5A4-AS1","ENSG00000242082.2",2.985,"3.31e-03",4.22,"Up"
NA,"ENSG00000228973.2",2.985,"1.78e-02",0.9,"Up"
"MAGED4B","ENSG00000187243.17",2.984,"1.01e-06",27.73,"Up"
"MMP17","ENSG00000198598.7",2.984,"1.88e-04",6.58,"Up"
"BNIP5","ENSG00000189325.7",2.98,"1.44e-03",10.47,"Up"
"COL5A2","ENSG00000204262.14",2.979,"1.97e-13",2846.62,"Up"
"GCNT3","ENSG00000140297.13",2.978,"1.65e-09",78.57,"Up"
"SLC29A4","ENSG00000164638.11",2.978,"9.40e-07",35.08,"Up"
"ACAN","ENSG00000157766.19",2.978,"5.66e-06",35.2,"Up"
NA,"ENSG00000300950.1",2.975,"3.69e-02",1.42,"Up"
NA,"ENSG00000279742.1",2.973,"3.70e-03",1.39,"Up"
"CALML6","ENSG00000169885.10",2.973,"4.97e-03",2.09,"Up"
NA,"ENSG00000236663.3",2.973,"2.48e-02",0.69,"Up"
NA,"ENSG00000243636.2",2.969,"4.49e-02",4.82,"Up"
"LOC116435278","ENSG00000286710.2",2.968,"2.03e-02",0.89,"Up"
"CDC20","ENSG00000117399.14",2.967,"1.06e-07",163.63,"Up"
"PDLIM4","ENSG00000131435.13",2.967,"2.47e-07",65.3,"Up"
"LINC01018","ENSG00000250056.9",2.967,"1.22e-05",44.98,"Up"
"VPS33B-DT","ENSG00000214432.10",2.967,"2.59e-03",1.74,"Up"
NA,"ENSG00000223784.3",2.966,"3.42e-04",8.22,"Up"
"IGHV5-78","ENSG00000211978.2",2.965,"2.20e-04",9.33,"Up"
NA,"ENSG00000300783.1",2.964,"2.90e-02",1.73,"Up"
NA,"ENSG00000305467.1",2.962,"1.47e-02",1.41,"Up"
"SIX4","ENSG00000100625.9",2.961,"1.96e-18",181.13,"Up"
NA,"ENSG00000294125.1",2.96,"9.55e-07",4.62,"Up"
"EFNA3","ENSG00000143590.14",2.959,"6.17e-13",19.09,"Up"
"TFF1","ENSG00000160182.3",2.959,"1.02e-02",1.12,"Up"
"FHL2","ENSG00000115641.19",2.955,"1.49e-13",409.31,"Up"
"NEIL3","ENSG00000109674.4",2.953,"8.19e-08",28.01,"Up"
NA,"ENSG00000297504.1",2.952,"2.70e-02",0.87,"Up"
NA,"ENSG00000279569.1",2.951,"4.46e-03",2.07,"Up"
"GPR88","ENSG00000181656.7",2.95,"1.39e-03",6.75,"Up"
NA,"ENSG00000224769.1",2.949,"9.08e-08",94.56,"Up"
NA,"ENSG00000277836.1",2.948,"2.50e-11",63.9,"Up"
NA,"ENSG00000295505.1",2.948,"2.70e-02",0.89,"Up"
"PTCSC2","ENSG00000236130.3",2.947,"3.56e-02",1.7,"Up"
NA,"ENSG00000308366.1",2.947,"3.61e-02",1.4,"Up"
NA,"ENSG00000253395.2",2.945,"3.06e-05",3.65,"Up"
"BTBD16","ENSG00000138152.10",2.944,"4.27e-04",2.99,"Up"
NA,"ENSG00000249096.8",2.942,"1.70e-13",68.78,"Up"
NA,"ENSG00000235892.1",2.942,"2.64e-02",0.88,"Up"
"IGHV3-21","ENSG00000211947.2",2.94,"2.19e-10",997.27,"Up"
NA,"ENSG00000238273.3",2.937,"1.35e-06",7.93,"Up"
NA,"ENSG00000197794.2",2.937,"1.54e-02",0.89,"Up"
"IGHV4-34","ENSG00000211956.2",2.931,"3.04e-09",675.5,"Up"
"IGHG1","ENSG00000211896.7",2.927,"2.46e-09",29570.47,"Up"
"CD19","ENSG00000177455.15",2.927,"1.32e-06",30.85,"Up"
NA,"ENSG00000248587.9",2.927,"3.45e-02",2.88,"Up"
"HMGB3P6","ENSG00000213070.3",2.926,"2.65e-13",102.09,"Up"
"LINC02541","ENSG00000230943.5",2.925,"1.79e-05",25.1,"Up"
"WNK2","ENSG00000165238.17",2.925,"3.31e-04",23.02,"Up"
NA,"ENSG00000308802.1",2.925,"4.35e-03",3.86,"Up"
NA,"ENSG00000295406.1",2.925,"4.81e-02",0.86,"Up"
"MAST1","ENSG00000105613.10",2.923,"5.46e-05",5.56,"Up"
NA,"ENSG00000261207.1",2.922,"3.21e-03",1.35,"Up"
"AMH","ENSG00000104899.8",2.921,"4.89e-02",1.1,"Up"
NA,"ENSG00000299638.1",2.919,"1.30e-02",2.52,"Up"
NA,"ENSG00000303265.1",2.919,"1.65e-02",6.08,"Up"
"TRPM8","ENSG00000144481.17",2.918,"2.65e-06",11.36,"Up"
"C14orf39","ENSG00000179008.9",2.918,"1.25e-02",2.04,"Up"
"PTGES3L-AARSD1","ENSG00000108825.18",2.918,"4.61e-02",0.67,"Up"
"LINC01539","ENSG00000267712.8",2.917,"1.70e-02",1.1,"Up"
"SLC12A9-AS1","ENSG00000236305.4",2.915,"1.11e-03",2.03,"Up"
"LINC01843","ENSG00000251169.4",2.914,"7.86e-04",2.76,"Up"
"MYEOV","ENSG00000172927.9",2.913,"8.59e-04",8.33,"Up"
NA,"ENSG00000300403.1",2.912,"3.77e-06",57.42,"Up"
"UPK3A","ENSG00000100373.10",2.911,"2.50e-03",4.42,"Up"
"IGKV1D-43","ENSG00000242580.1",2.91,"2.81e-05",37.49,"Up"
"MESP2","ENSG00000188095.6",2.91,"3.91e-03",2.01,"Up"
"EYA2","ENSG00000064655.19",2.908,"4.77e-05",107.4,"Up"
"ALG1L2","ENSG00000251287.9",2.906,"1.69e-04",2.85,"Up"
NA,"ENSG00000300791.1",2.906,"3.07e-03",1.65,"Up"
"IGHV3-11","ENSG00000211941.3",2.905,"3.10e-14",702.5,"Up"
NA,"ENSG00000271569.1",2.905,"9.56e-07",67.18,"Up"
NA,"ENSG00000295724.1",2.902,"1.18e-04",4.58,"Up"
"ANLN","ENSG00000011426.11",2.9,"5.24e-09",465.65,"Up"
"ZSCAN4","ENSG00000180532.12",2.9,"8.69e-03",5.54,"Up"
"E2F5-DT","ENSG00000260493.2",2.899,"3.52e-03",1.64,"Up"
NA,"ENSG00000250258.2",2.898,"3.23e-02",0.86,"Up"
"IGLV2-28","ENSG00000253451.1",2.897,"8.75e-14",82.39,"Up"
"DUXAP9","ENSG00000293329.2",2.895,"4.69e-09",75.83,"Up"
"WNT16","ENSG00000002745.13",2.894,"6.29e-03",3.66,"Up"
NA,"ENSG00000298376.1",2.893,"1.68e-03",3.26,"Up"
"B3GALT5","ENSG00000183778.19",2.891,"3.48e-04",7.28,"Up"
"C11orf98P3","ENSG00000228171.1",2.891,"4.51e-02",0.65,"Up"
NA,"ENSG00000236908.3",2.89,"5.88e-05",3.6,"Up"
NA,"ENSG00000214797.3",2.889,"1.11e-02",5.05,"Up"
"IGLC6","ENSG00000222037.5",2.888,"2.30e-08",22.26,"Up"
"SLCO5A1","ENSG00000137571.11",2.883,"1.85e-06",27.52,"Up"
NA,"ENSG00000309448.1",2.883,"3.44e-02",0.83,"Up"
"HCAR1","ENSG00000196917.6",2.88,"3.97e-05",47.31,"Up"
"CLDN3","ENSG00000165215.6",2.877,"3.99e-09",27.27,"Up"
"VSTM2L","ENSG00000132821.12",2.877,"1.35e-04",109.22,"Up"
NA,"ENSG00000227183.3",2.877,"1.12e-02",1.32,"Up"
NA,"ENSG00000259261.2",2.875,"1.55e-08",66.25,"Up"
"RFLNA","ENSG00000178882.15",2.875,"3.16e-07",14.34,"Up"
"SAPCD2","ENSG00000186193.9",2.875,"1.06e-06",19.93,"Up"
NA,"ENSG00000308452.1",2.875,"1.94e-03",2.77,"Up"
NA,"ENSG00000232298.3",2.874,"7.94e-03",1.07,"Up"
NA,"ENSG00000211676.2",2.872,"1.34e-07",12.11,"Up"
"UGT8","ENSG00000174607.12",2.871,"2.98e-09",182.91,"Up"
NA,"ENSG00000298162.1",2.871,"4.00e-05",6.01,"Up"
"TMEM74","ENSG00000164841.5",2.87,"1.36e-04",4.81,"Up"
NA,"ENSG00000202415.1",2.87,"3.44e-02",0.84,"Up"
"SPANXA2-OT1","ENSG00000277215.3",2.869,"2.53e-03",3.23,"Up"
NA,"ENSG00000224629.1",2.868,"7.23e-03",1.04,"Up"
"GLYATL1","ENSG00000166840.14",2.868,"1.87e-02",2.43,"Up"
"IGLV1-47","ENSG00000211648.2",2.863,"2.29e-11",599.2,"Up"
NA,"ENSG00000267033.1",2.862,"1.25e-02",1.04,"Up"
"DISP3","ENSG00000204624.8",2.859,"5.87e-03",3.3,"Up"
"TEDC2","ENSG00000162062.15",2.857,"3.69e-08",9.97,"Up"
"IGHV3-64","ENSG00000223648.4",2.856,"2.26e-07",50.4,"Up"
NA,"ENSG00000306504.1",2.856,"2.97e-02",0.84,"Up"
"HOXC-AS2","ENSG00000250133.2",2.855,"1.26e-02",1.3,"Up"
"TENM4","ENSG00000149256.16",2.854,"1.86e-12",121.45,"Up"
"SRPK3","ENSG00000184343.11",2.853,"4.52e-05",7.18,"Up"
NA,"ENSG00000281550.1",2.849,"7.13e-09",32.78,"Up"
"UHRF1","ENSG00000276043.5",2.848,"5.68e-09",64.91,"Up"
"CNFN","ENSG00000105427.10",2.848,"2.28e-02",1.62,"Up"
"ANKRD36BP2","ENSG00000291127.2",2.847,"3.05e-12",89.8,"Up"
"MROH6","ENSG00000204839.9",2.846,"2.37e-09",102.33,"Up"
"MIR1249","ENSG00000221598.3",2.846,"2.06e-02",0.84,"Up"
"TFR2","ENSG00000106327.13",2.845,"5.30e-07",12.99,"Up"
"POF1B","ENSG00000124429.18",2.845,"8.63e-05",185.7,"Up"
NA,"ENSG00000291250.2",2.845,"8.55e-03",5.25,"Up"
"LINC03129","ENSG00000236529.2",2.844,"4.17e-06",6.02,"Up"
"BMS1P22","ENSG00000290415.2",2.843,"7.55e-03",4.55,"Up"
"DRD2","ENSG00000149295.14",2.843,"1.11e-02",1.29,"Up"
"TTYH1","ENSG00000167614.14",2.842,"7.73e-03",1.61,"Up"
"IGHJ5","ENSG00000242472.1",2.841,"5.14e-13",208.8,"Up"
"LINC01117","ENSG00000224577.5",2.841,"1.85e-04",4.09,"Up"
"EVPLL","ENSG00000214860.5",2.841,"6.80e-04",4.22,"Up"
"IGHV3-74","ENSG00000224650.2",2.837,"8.82e-11",453.95,"Up"
"WFDC2","ENSG00000101443.18",2.837,"5.26e-08",1253.58,"Up"
"PAX5","ENSG00000196092.14",2.837,"2.80e-07",41.17,"Up"
NA,"ENSG00000280537.2",2.836,"1.69e-05",8.92,"Up"
NA,"ENSG00000280287.1",2.836,"6.71e-05",6.53,"Up"
NA,"ENSG00000271013.1",2.836,"1.35e-02",1.91,"Up"
"CRYBB3","ENSG00000100053.10",2.835,"1.32e-02",1.3,"Up"
NA,"ENSG00000302377.1",2.835,"4.09e-02",0.82,"Up"
"RHBDL1","ENSG00000103269.14",2.832,"5.01e-06",4.95,"Up"
"GPRIN1","ENSG00000169258.7",2.831,"6.12e-15",47.45,"Up"
"POSTN","ENSG00000133110.15",2.829,"2.97e-07",5196.3,"Up"
"LINC01564","ENSG00000235899.5",2.828,"7.39e-05",6.27,"Up"
"VPS9D1-AS1","ENSG00000261373.1",2.827,"4.60e-12",17.71,"Up"
"IGKV1-5","ENSG00000243466.1",2.827,"2.84e-11",2460.29,"Up"
"LAMP5","ENSG00000125869.10",2.827,"6.04e-09",97.32,"Up"
"IGLV3-17","ENSG00000253152.1",2.826,"5.62e-03",1.61,"Up"
"CHMP1B2P","ENSG00000293469.2",2.825,"7.55e-04",17.9,"Up"
NA,"ENSG00000285651.1",2.825,"1.85e-02",0.82,"Up"
"LINC02475","ENSG00000251350.3",2.825,"2.40e-02",2.45,"Up"
NA,"ENSG00000253755.1",2.824,"1.19e-06",965.3,"Up"
"COL9A1","ENSG00000112280.18",2.824,"9.33e-03",1.9,"Up"
NA,"ENSG00000271178.1",2.823,"3.90e-15",79.6,"Up"
"KIF4A","ENSG00000090889.12",2.82,"4.12e-09",126.93,"Up"
