"symbol","gene_id","log2FoldChange","padj","baseMean","regulacion"
"APCDD1L","ENSG00000198768.11",6.052,"9.30e-10",10.86,"Up"
"DLX5","ENSG00000105880.7",6.041,"5.11e-06",7.18,"Up"
"FAT2","ENSG00000086570.13",5.964,"3.70e-11",284.62,"Up"
"MUC16","ENSG00000181143.17",5.96,"1.14e-10",286.27,"Up"
"PITX2","ENSG00000164093.18",5.956,"1.78e-05",8.28,"Up"
"SIM2","ENSG00000159263.16",5.945,"4.80e-04",12.33,"Up"
"KRT15","ENSG00000171346.16",5.883,"2.73e-16",882.09,"Up"
"S100A2","ENSG00000196754.13",5.863,"1.29e-15",528.22,"Up"
"UNC93A","ENSG00000112494.10",5.831,"1.28e-04",5.04,"Up"
"KLK8","ENSG00000129455.16",5.812,"9.62e-04",11.29,"Up"
"AFAP1-AS1","ENSG00000272620.2",5.811,"5.16e-20",574.52,"Up"
"NGEF","ENSG00000066248.15",5.81,"5.36e-13",75.99,"Up"
"KRTAP4-1","ENSG00000198443.8",5.795,"1.05e-02",4.91,"Up"
"CRABP2","ENSG00000143320.9",5.781,"1.39e-20",742.18,"Up"
"IBSP","ENSG00000029559.7",5.77,"1.91e-10",8.94,"Up"
"SALL1","ENSG00000103449.13",5.745,"2.37e-02",7.17,"Up"
"SPRR2A","ENSG00000241794.2",5.734,"2.40e-03",10.67,"Up"
"HOXC13","ENSG00000123364.5",5.727,"3.93e-05",4.69,"Up"
"TFAP2A","ENSG00000137203.15",5.698,"8.44e-24",61.12,"Up"
"SIX2","ENSG00000170577.8",5.692,"1.20e-07",12.67,"Up"
"HOXD10","ENSG00000128710.6",5.657,"2.50e-05",18.79,"Up"
"ADGRF4","ENSG00000153294.12",5.653,"1.48e-10",34.49,"Up"
"NKX1-2","ENSG00000229544.9",5.639,"2.45e-04",4.41,"Up"
"HOXB9","ENSG00000170689.10",5.633,"5.05e-04",4.39,"Up"
"PADI1","ENSG00000142623.11",5.607,"2.46e-04",13.45,"Up"
"UGT1A1","ENSG00000241635.8",5.605,"4.27e-03",5.31,"Up"
"VTCN1","ENSG00000134258.18",5.602,"1.71e-09",208.98,"Up"
"BRDT","ENSG00000137948.19",5.584,"2.90e-04",24.27,"Up"
"TFAP2D","ENSG00000008197.5",5.565,"1.09e-04",6.35,"Up"
"SPP2","ENSG00000072080.11",5.562,"5.69e-04",4.18,"Up"
"FOXI3","ENSG00000214336.5",5.557,"1.96e-05",6.31,"Up"
"HOXA13","ENSG00000106031.9",5.551,"3.82e-02",4.15,"Up"
"SLC6A3","ENSG00000142319.19",5.492,"3.90e-07",24.77,"Up"
"ONECUT1","ENSG00000169856.9",5.469,"1.52e-09",14.52,"Up"
"IL22RA2","ENSG00000164485.15",5.46,"4.71e-11",16.44,"Up"
"DUSP9","ENSG00000130829.18",5.435,"3.74e-06",5.8,"Up"
"KRT14","ENSG00000186847.6",5.435,"1.04e-06",5.8,"Up"
"SPINK2","ENSG00000128040.13",5.432,"4.01e-06",14.59,"Up"
"PKP1","ENSG00000081277.13",5.394,"2.10e-06",909.97,"Up"
"NETO1","ENSG00000166342.19",5.368,"4.45e-14",20.72,"Up"
"FAM83B","ENSG00000168143.9",5.367,"8.68e-06",67.74,"Up"
"TRIM51BP","ENSG00000204455.7",5.359,"3.27e-03",8.25,"Up"
"GLYATL2","ENSG00000156689.7",5.348,"8.45e-03",9.52,"Up"
"ZYG11A","ENSG00000203995.11",5.328,"2.56e-09",19.84,"Up"
"TMEM59L","ENSG00000105696.9",5.315,"1.37e-04",23.99,"Up"
